iter	Passed	Remaining
0	351	350730
1	351	175632
2	352	117194
3	353	87947
4	353	70418
5	354	58712
6	354	50350
7	355	44079
8	355	39195
9	356	35287
10	356	32093
11	357	29436
12	358	27203
13	358	25277
14	360	23648
15	360	22195
16	361	20900
17	361	19748
18	362	18727
19	363	17800
20	363	16963
21	364	16200
22	364	15502
23	365	14861
24	365	14271
25	366	13727
26	366	13224
27	368	12790
28	368	12354
29	369	11948
30	370	11568
31	370	11212
32	371	10880
33	372	10573
34	372	10275
35	373	10002
36	374	9757
37	375	9507
38	376	9272
39	377	9066
40	378	8850
41	378	8642
42	379	8444
43	379	8254
44	380	8074
45	381	7902
46	381	7741
47	382	7584
48	382	7432
49	384	7302
50	385	7168
51	385	7035
52	386	6904
53	386	6779
54	387	6657
55	388	6540
56	388	6427
57	389	6318
58	389	6213
59	390	6122
60	391	6023
61	391	5928
62	392	5835
63	392	5745
64	393	5657
65	395	5590
66	396	5514
67	396	5436
68	397	5359
69	397	5286
70	398	5216
71	399	5145
72	399	5075
73	400	5009
74	400	4943
75	401	4880
76	401	4818
77	402	4757
78	402	4697
79	403	4639
80	403	4583
81	404	4527
82	404	4471
83	405	4418
84	405	4367
85	406	4317
86	406	4267
87	407	4219
88	407	4172
89	408	4129
90	409	4087
91	409	4046
92	410	4004
93	411	3962
94	411	3921
95	412	3881
96	412	3842
97	413	3803
98	413	3765
99	414	3730
100	415	3694
101	415	3658
102	416	3623
103	416	3588
104	417	3554
105	417	3521
106	418	3489
107	418	3456
108	419	3425
109	419	3394
110	420	3365
111	420	3335
112	421	3306
113	421	3278
114	422	3250
115	422	3222
116	423	3194
117	423	3168
118	424	3143
119	425	3118
120	425	3094
121	426	3069
122	427	3046
123	427	3021
124	428	2997
125	428	2975
126	429	2951
127	429	2929
128	430	2906
129	431	2884
130	431	2862
131	432	2841
132	432	2819
133	433	2800
134	433	2780
135	434	2760
136	434	2740
137	435	2720
138	435	2700
139	436	2681
140	436	2661
141	437	2642
142	437	2623
143	438	2606
144	438	2588
145	440	2576
146	440	2558
147	441	2541
148	442	2524
149	442	2508
150	443	2492
151	443	2475
152	444	2459
153	444	2443
154	445	2427
155	445	2412
156	446	2396
157	446	2381
158	447	2366
159	447	2351
160	448	2335
161	448	2321
162	449	2306
163	449	2292
164	450	2278
165	450	2264
166	451	2251
167	451	2237
168	452	2224
169	452	2211
170	453	2198
171	453	2185
172	454	2172
173	455	2163
174	456	2152
175	457	2141
176	457	2128
177	458	2116
178	458	2104
179	459	2092
180	459	2080
181	460	2068
182	460	2057
183	461	2045
184	461	2034
185	462	2023
186	462	2012
187	463	2001
188	463	1990
189	464	1979
190	464	1969
191	465	1958
192	465	1948
193	466	1937
194	466	1927
195	467	1917
196	467	1907
197	468	1897
198	468	1887
199	469	1877
200	470	1868
201	471	1860
202	471	1851
203	472	1842
204	472	1833
205	473	1823
206	473	1814
207	474	1805
208	474	1796
209	475	1787
210	475	1778
211	476	1769
212	476	1761
213	477	1752
214	477	1744
215	478	1735
216	478	1727
217	479	1718
218	479	1710
219	480	1703
220	480	1694
221	481	1686
222	481	1678
223	482	1670
224	482	1662
225	483	1655
226	483	1648
227	484	1640
228	485	1633
229	486	1628
230	487	1621
231	487	1614
232	488	1606
233	488	1599
234	489	1592
235	489	1584
236	490	1577
237	490	1570
238	491	1563
239	491	1556
240	492	1549
241	492	1542
242	492	1535
243	493	1529
244	493	1522
245	494	1515
246	494	1508
247	495	1502
248	495	1495
249	496	1489
250	496	1482
251	497	1476
252	497	1470
253	498	1463
254	498	1457
255	499	1451
256	500	1445
257	500	1439
258	501	1435
259	502	1429
260	502	1423
261	503	1418
262	504	1412
263	504	1406
264	505	1400
265	505	1394
266	505	1389
267	506	1383
268	506	1377
269	507	1371
270	507	1366
271	508	1360
272	508	1355
273	509	1349
274	509	1344
275	510	1338
276	510	1333
277	511	1327
278	511	1322
279	512	1317
280	512	1311
281	513	1306
282	513	1301
283	514	1296
284	514	1291
285	515	1286
286	516	1283
287	517	1278
288	517	1273
289	518	1268
290	518	1263
291	519	1258
292	519	1254
293	520	1249
294	520	1244
295	521	1239
296	521	1235
297	522	1230
298	522	1225
299	523	1221
300	523	1216
301	524	1211
302	524	1207
303	525	1202
304	525	1198
305	526	1193
306	526	1188
307	527	1184
308	527	1179
309	528	1175
310	528	1171
311	529	1166
312	529	1162
313	530	1158
314	530	1154
315	531	1151
316	532	1147
317	532	1142
318	533	1138
319	533	1134
320	534	1130
321	534	1126
322	535	1122
323	535	1118
324	536	1114
325	536	1109
326	537	1106
327	538	1102
328	538	1098
329	539	1094
330	539	1090
331	540	1086
332	540	1082
333	541	1078
334	541	1075
335	542	1071
336	542	1067
337	542	1063
338	543	1059
339	543	1055
340	544	1052
341	544	1048
342	545	1044
